#Parameters = {n=0.125; Wp=7.5; Ws=15; h=0.762; phi=0; theta=0}
#"Frequency / GHz"	"SZmax(1),Zmax(1) (Wp=7.5) [Phase in Degrees]"
#----------------------------------------------------------------
9.5040000000000	-49.887182398646
9.5080000000000	-50.290032908902
9.5120000000000	-50.697117922415
9.5160000000000	-51.108515285684
9.5200000000000	-51.524304610098
9.5240000000000	-51.944567316625
9.5280000000000	-52.369386681615
9.5320000000000	-52.798847883728
9.5360000000000	-53.233038052006
9.5400000000000	-53.672046315109
9.5440000000000	-54.115963851719
9.5480000000000	-54.564883942133
9.5520000000000	-55.018902021060
9.5560000000000	-55.478115731618
9.5600000000000	-55.942624980556
9.5640000000000	-56.412531994691
9.5680000000000	-56.887941378574
9.5720000000000	-57.368960173379
9.5760000000000	-57.855697917020
9.5800000000000	-58.348266705474
9.5840000000000	-58.846781255318
9.5880000000000	-59.351358967457
9.5920000000000	-59.862119992016
9.5960000000000	-60.379187294386
9.6000000000000	-60.902686722388
9.6040000000000	-61.432747074503
9.6080000000000	-61.969500169156
9.6120000000000	-62.513080914969
9.6160000000000	-63.063627381941
9.6200000000000	-63.621280873486
9.6240000000000	-64.186185999237
